CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,1,2,3,4,5,6,7,8,9,10,11,12
142,F,2029,2029,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
143,F,2030,2030,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
144,F,2031,*,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
145,F,2016,2016,*,DIESEL_ARICA,CenCosVar,EtaMes,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36
146,F,2017,2017,*,DIESEL_ARICA,CenCosVar,EtaMes,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36,451.36,537.12,537.12,537.12
147,F,2018,2018,*,DIESEL_ARICA,CenCosVar,EtaMes,537.12,537.12,537.12,537.12,537.12,537.12,537.12,537.12,537.12,658.99,658.99,658.99
148,F,2019,2019,*,DIESEL_ARICA,CenCosVar,EtaMes,658.99,658.99,658.99,658.99,658.99,658.99,658.99,658.99,658.99,717.67,717.67,717.67
149,F,2020,2020,*,DIESEL_ARICA,CenCosVar,EtaMes,717.67,717.67,717.67,717.67,717.67,717.67,717.67,717.67,717.67,762.80,762.80,762.80
150,F,2021,2021,*,DIESEL_ARICA,CenCosVar,EtaMes,762.80,762.80,762.80,762.80,762.80,762.80,762.80,762.80,762.80,794.40,794.40,794.40
151,F,2022,2022,*,DIESEL_ARICA,CenCosVar,EtaMes,794.40,794.40,794.40,794.40,794.40,794.40,794.40,794.40,794.40,816.97,816.97,816.97
152,F,2023,2023,*,DIESEL_ARICA,CenCosVar,EtaMes,816.97,816.97,816.97,816.97,816.97,816.97,816.97,816.97,816.97,835.02,835.02,835.02
