ApeINum,ApeIAnoIni,ApeIAnoFin,ApeEtaNom,ApeIApe,ApeIHid,ApeHidPot
551,2,2,MesJul,47,6,5325.305
552,2,2,MesJul,48,46,5328.258
553,2,2,MesJul,49,35,5330.183
554,2,2,MesJul,50,41,5331.043
555,2,2,MesJul,51,42,5333.109
556,2,2,MesJul,52,21,5339.607
557,2,2,MesJul,53,47,5344.71
558,2,2,MesJul,54,23,5345.67
559,2,2,MesJul,55,34,5379.12
560,2,2,MesJul,56,55,5444.353
561,2,2,MesAgo,1,54,1494.359
562,2,2,MesAgo,2,56,1618.199
563,2,2,MesAgo,3,39,1984.774
564,2,2,MesAgo,4,9,2054.142
565,2,2,MesAgo,5,48,2256.441
566,2,2,MesAgo,6,53,2476.522
567,2,2,MesAgo,7,5,2635.992
568,2,2,MesAgo,8,17,2639.216
569,2,2,MesAgo,9,37,2773.311
570,2,2,MesAgo,10,51,2815.857
571,2,2,MesAgo,11,26,2878.005
572,2,2,MesAgo,12,16,2964.002
573,2,2,MesAgo,13,32,3010.175
574,2,2,MesAgo,14,24,3012.278
575,2,2,MesAgo,15,33,3116.345
576,2,2,MesAgo,16,1,3185.273
577,2,2,MesAgo,17,25,3225.928
578,2,2,MesAgo,18,11,3280.069
579,2,2,MesAgo,19,44,3289.958
580,2,2,MesAgo,20,8,3330.655
581,2,2,MesAgo,21,45,3337.788
582,2,2,MesAgo,22,15,3409.325
583,2,2,MesAgo,23,31,3436.148
584,2,2,MesAgo,24,14,3439.931
585,2,2,MesAgo,25,7,3476.239
586,2,2,MesAgo,26,3,3546.094
587,2,2,MesAgo,27,52,3584.736
588,2,2,MesAgo,28,35,3712.608
589,2,2,MesAgo,29,30,3745.423
590,2,2,MesAgo,30,4,3779.305
591,2,2,MesAgo,31,2,3870.66
592,2,2,MesAgo,32,23,4000.292
593,2,2,MesAgo,33,40,4022.839
594,2,2,MesAgo,34,10,4112.787
595,2,2,MesAgo,35,29,4117.741
596,2,2,MesAgo,36,36,4171.344
597,2,2,MesAgo,37,47,4199.365
598,2,2,MesAgo,38,19,4236.389
599,2,2,MesAgo,39,27,4306.334
600,2,2,MesAgo,40,18,4312.497
601,2,2,MesAgo,41,28,4344.065
602,2,2,MesAgo,42,22,4505.383
603,2,2,MesAgo,43,34,4586.199
604,2,2,MesAgo,44,21,4661.408
605,2,2,MesAgo,45,41,4663.397
606,2,2,MesAgo,46,50,4848.281
607,2,2,MesAgo,47,49,4867.335
608,2,2,MesAgo,48,12,4929.253
609,2,2,MesAgo,49,42,5392.734
610,2,2,MesAgo,50,55,5430.926
611,2,2,MesAgo,51,43,5436.076
612,2,2,MesAgo,52,46,5439.181
613,2,2,MesAgo,53,20,5441.809
614,2,2,MesAgo,54,38,5454.51
615,2,2,MesAgo,55,6,5457.916
616,2,2,MesAgo,56,13,5463.155
617,2,2,MesSep,1,54,1504.977
618,2,2,MesSep,2,39,1914.446
619,2,2,MesSep,3,56,2071.267
620,2,2,MesSep,4,9,2304.221
